intaketime,dispatchtime,traveltime,totalresponsetime,time_on_scene,totaltime
1.7,360.2,443.1,809.4,12.9,822.3
0.3,759.9,9.3,769.5,45.4,814.8
7,723.4,9.7,740.2,47.8,787.9
2.2,118.3,604.3,725.1,1.5,726.6
2.9,700.7,9.8,713.5,5.1,718.5
2.1,687.8,15.3,706.6,22.2,728.8
0.8,685.4,15.9,703.9,63.9,767.8
0,693.7,5.3,699,4.9,703.9
2.4,685.9,4.4,692.7,7.1,699.8
1.9,659.6,23.3,687.4,3.7,691.1
3.5,678.2,2.7,684.5,12.9,697.4
2.4,664.3,16.1,683.3,3.9,687.1
2.9,657,14.3,675.1,30.9,706
2.1,143.1,5.4,661.5,20,681.5
3.5,652.9,3.8,660.3,2.1,662.4
1.7,632.5,24.3,659.9,22.1,682
6.7,631.2,0,658.7,12.9,671.5
2.5,647.4,3,657.2,3.1,660.3
2,648.1,1.5,652.3,5.8,658.1
0.6,638.7,11.4,650.6,0.7,651.3
1.9,230,416.8,648.8,26.1,674.8
2.8,639.5,0,642.7,4.2,646.9
1.1,629.5,6.2,637.4,1.7,639.1
5.3,622.8,8.1,637.3,4.5,641.8
1.7,630.8,4,636.5,29.4,665.9
2.4,583.1,19.4,635,34.3,669.3
1.8,620.7,5.4,629.1,16.1,645.2
1.4,624.3,2.3,628.1,1.8,629.9
1.6,615.4,5,625.8,4.2,630
0.6,143.1,479.8,625.6,40.6,666.2
5.5,193.4,10.1,623.6,7.4,631
1.7,83.9,535.3,621.4,2.5,623.9
1.3,603.6,12.8,621.2,62.6,683.7
2.4,611.3,7,620.7,35,655.8
2,612,4.9,619,29.3,648.3
0.9,610.2,5.8,618.5,4.4,622.9
2,609,3,617.6,6,623.6
3,589.1,0.7,616.3,114.2,730.4
2.4,600.7,8.8,612,25.3,637.3
0.8,213,8.9,605.4,8.9,614.3
1.3,532,70.9,604.8,11.6,616.5
3.3,592.1,5.9,603,3,605.9
1,380.9,221.1,603,43.9,646.9
2.6,591.5,7.4,601.6,2.6,604.2
2.1,582.1,15.6,600.3,5.6,605.9
0.8,0.5,595.6,597.3,3.7,601.1
1.7,586.8,7.7,596.3,5,601.3
0.8,584.2,6.8,592.1,20.9,613
0.8,565.8,22.2,588.8,18.8,607.6
1.8,580.1,4.4,587.6,16.7,604.3
4.2,568.3,12.6,585.4,24.8,610.2
1.2,575.2,6.4,583.4,6.7,590.1
0,570.5,0,583.2,16.2,599.4
4.4,565.4,12.8,582.7,31.6,614.3
4.5,547.9,29.7,582.1,16.8,598.9
5.5,546,22.9,574.5,23.2,597.7
1,567.9,3.1,573.6,12.4,586
1.2,568.9,0.5,571.5,0.1,571.5
1.6,564.9,3.2,570.1,6.3,576.4
0.8,562.5,5.3,569.8,2.6,572.4
1.5,562,4.4,567.9,2.9,570.8
0.9,563.7,0,565.8,4,569.8
1.7,551.2,12.3,565.3,3.3,568.5
2.3,547.7,13,564.5,18.2,582.8
0.7,503,58.6,563.8,32.2,596
1.4,553.3,5.6,560.7,4,564.7
2.5,548.3,4.5,555.8,7.4,563.2
0.9,61.6,490.8,553.6,1.9,555.4
3.5,531.6,1.2,552.6,66.1,618.6
0.9,538.5,9,551.7,23.7,575.4
1.5,544.5,3.1,549.1,2.9,551.9
3.2,183.4,0,547.7,63.6,611.3
2.2,533.1,8,545.3,9.9,555.2
2.8,539.9,0.6,544.9,6.5,551.4
0.2,535.5,8,543.7,31.5,575.2
2.4,531.4,9,543.4,31.8,575.3
1.4,538.4,1.9,541.7,1.3,542.9
1.2,534,3.6,539.9,8.9,548.8
2.1,509.3,21.9,535.9,38.4,574.3
0.9,527,6.8,534.7,25.3,560
1,271,261.2,534,9.4,543.4
1.3,527.5,1.4,530.2,111.2,641.4
2.1,501.9,16.7,529.9,75.9,605.8
1.4,518.5,5.7,529.8,3.3,533
2.4,519.9,6.1,528.9,7.4,536.4
0,521.5,6.1,527.6,26.7,554.3
1.8,488.9,34.4,525.7,0.1,525.7
1.7,514.7,5.2,524.4,24.2,548.6
1.8,513.3,5.8,522.8,7.2,530.1
1.7,498.8,16.8,521.4,9,530.4
0,513.1,6.6,519.7,11.3,530.9
0.8,504.6,11.5,519.6,71.2,590.8
2.9,511.3,3.1,518.4,36.3,554.7
2,501.2,13.9,517.6,38.9,556.5
2,501.5,0,515.2,31.6,546.8
3.2,481.1,30,515.1,32.1,547.2
2.9,502.6,3.6,511.1,47.4,558.5
2.3,503.2,5.1,510.6,7.7,518.3
1.3,491.8,16.7,510,14.8,524.8
1,184.8,322.3,508.5,2.7,511.1
2,501,0.8,508.2,6,514.2
1.6,480.2,21.8,508.1,38.4,546.5
1.9,498.4,4.8,505.9,14.8,520.7
1.2,493.3,8.8,503.9,9.8,513.7
0.9,487.2,14.1,503.9,7.3,511.2
0.9,498.8,2.4,503.4,11.8,515.2
1.7,499.3,1.8,502.7,7.3,510
5.2,482.2,14.4,502,7,509
1.6,490.2,5.6,501.6,22,523.7
1,496.3,2.6,501.5,13.6,515
2.6,495.4,2.5,500.6,11.7,512.2
2.1,492.4,4.7,499.7,13.4,513.1
3,481.1,11.8,498.3,5.1,503.4
2.1,2.4,493.5,498,12.8,510.7
3,473.6,18.6,497.7,5.5,503.2
3.8,284.6,6.2,497.6,24.1,521.7
2.9,283.7,210.6,497.2,10,507.2
8.2,482.5,6.2,496.8,21.7,518.5
1.8,482.1,11.3,495.3,32.4,527.7
1.2,480.5,11.3,494.7,7.4,502.2
2.2,229.1,261.8,493.7,4.1,497.8
0.8,479.6,10.6,492.2,16.9,509.1
1.1,484.3,6.3,492.2,8,500.2
0.8,481.9,8.4,492.2,96.5,588.8
3.2,485.2,1.8,490.2,13.4,503.6
1.3,454.5,4.4,490.2,65.4,555.5
1.3,461.2,26.4,489.9,5.7,495.6
1.3,485.5,2.7,489.8,5.1,494.8
2.9,479.4,4.9,487.2,3.8,491
2.8,475.4,8.1,486.6,8.3,494.9
1.5,458.7,24.5,484.9,0,485
0.8,478.9,4.1,484.7,4,488.7
0.6,469.5,0,483.1,6.4,489.5
0.9,477.7,3.6,482.8,13.2,496
1.6,474.6,5.2,482.5,20.6,503
0.9,460.3,20.4,482.2,22.9,505.1
3.7,467,7.1,481.3,8.5,489.7
3.6,242.4,233.4,480.6,5.7,486.3
1.5,472.5,5.2,479.7,8.9,488.6
1.8,465.5,8.9,478.3,5.7,483.9
0.9,467.2,3.9,477.2,3,480.2
1.2,255.7,219.5,476.4,18.2,494.5
0.6,470.6,3.1,474.9,19.1,494
2,463.6,5.9,472.2,14.7,486.9
2.8,465.8,2.6,471.2,13.2,484.4
1.3,444.4,24.6,470.3,13.3,483.6
0.9,454.1,2,469.1,31.4,500.5
1.6,448.2,8.5,468.3,12.5,480.7
1.2,462.5,4.6,468.3,37.9,506.2
1,25.1,441.6,467.7,3.3,471
0.5,460.9,6,467.5,117.5,585
2,446,19.4,467.3,4,471.3
1.5,455.8,8.4,466,19.8,485.9
3.4,457.6,3.4,465.4,2.2,467.6
1.5,455.6,8.2,465.3,4.6,469.9
2,455.9,5,462.9,12.6,475.5
3.2,456.7,2,462.2,23.8,486
3.9,452.8,4.4,461.2,25.5,486.7
3,457.2,0,460.2,1.3,461.4
2.6,450.3,6.1,459.9,27.9,487.7
2.2,128.7,222.7,459.9,25.3,485.2
0.6,447.5,8.9,459.9,12.4,472.3
2.7,450.6,5.6,459.2,32.9,492
3.3,449.9,2.6,458.8,3.5,462.2
1.2,65.1,391.6,457.9,19.3,477.2
3,439.6,6.1,457.9,9.2,467.1
3.7,447.4,6.5,457.8,4.2,462
2.2,451.7,3,457.7,2.7,460.3
1.2,447.9,8.6,457.6,38.9,496.5
1.5,410.1,45.6,457.1,49.4,506.5
2,437.9,14.7,456.5,16.3,472.8
1.8,446.9,5.3,454.1,49.6,503.6
0.9,446.7,4.6,452.5,3.9,456.4
2.8,442.7,6.2,452.2,22,474.3
3.2,433.9,14.1,451.7,4.3,456
1,0,450.6,451.6,180,631.6
1,445.4,0,451.3,17.6,468.9
1,445.4,4.1,451.1,5.1,456.2
2.3,1.3,447.4,451,6.4,457.3
1,151.3,298,450.4,27.6,477.9
1.2,436.6,5.8,450.1,92.7,542.8
1.1,434.6,13.1,449.1,5.5,454.6
2.5,440.9,3.4,448.3,58.2,506.5
1.6,439.6,4.4,446.5,55.6,502.1
1.9,429,14.7,445.7,31.5,477.2
3.2,435.1,7.3,445.7,7.7,453.3
1.9,442.9,0.1,444.9,179.6,624.5
1.5,412.3,31,444.9,117.6,562.6
2.3,436,6.4,444.7,7.5,452.2
2.5,432.7,8.4,443.8,3.9,447.8
1.1,308.4,0.4,442.6,3.8,446.4
3.6,437.7,0,441.9,13.3,455.1
1.3,431.6,4.8,437.7,3.1,440.8
1.2,436.2,0,437.5,4.3,441.7
3.9,225,186,437,5.9,442.9
0.9,429.5,3.8,436,5.9,441.9
0.8,428.2,6.4,435.4,22.3,457.7
0.9,431.2,3,435.3,5.5,440.8
2.4,417.5,8,435.1,3.6,438.6
1,84.7,346.1,434.5,12.3,446.8
1.8,417,8.6,433.7,26.3,460.1
0.9,427.8,3.7,432.4,3.7,436.1
2.1,425.5,3.5,431.2,7.3,438.4
0.8,426,2.5,430.9,9.3,440.2
1.8,422.9,3.8,429.2,29.3,458.5
2,426.9,0.3,429.1,1.3,430.4
6.8,408.1,10.5,428.8,3,431.7
1.5,417.1,9.7,428.6,34.1,462.7
2.2,410.3,15.7,428.3,13.1,441.4
0.8,407.9,18.1,426.7,20.7,447.4
1.9,414.6,3.8,426.2,5.5,431.7
1,421.2,3.5,426,3.6,429.6
2.4,416.7,5.3,425.6,7.7,433.3
2,404.8,17.8,424.6,202.1,626.8
2,415.3,7,424.3,15.2,439.5
2.4,404.2,16.3,423.3,13.3,436.6
0.6,412.6,8.7,423.1,9.4,432.5
3.4,409.9,8.8,422.7,2.2,424.9
3.3,412,7.1,422.4,27,449.4
1.7,414.5,4.6,422,3.4,425.4
3.4,318.3,20.1,420.9,42.9,463.7
1,414.1,0,420.9,28.2,449.1
1.1,417.7,1.9,420.8,11.1,431.9
0.5,418.3,1.7,420.5,6.6,427.1
1,410,8.3,420.5,105.3,525.8
2.6,409.1,5.2,420,6.2,426.2
0.7,418.8,0,419.9,33.8,453.7
1.5,403.6,6.5,419.8,5.9,425.7
3.6,403,11.8,418.4,14,432.4
2.6,76,339.6,418.4,31.4,449.8
1.8,388.9,26.7,417.9,5.8,423.6
0.6,394.6,22.4,417.6,6.5,424.1
1.8,410.6,4.2,417.6,5,422.7
1,408,8.5,417.6,49.6,467.2
2,407.8,7.4,417.5,21.6,439.1
4.3,189.3,218.5,417,16.2,433.1
3.4,412.4,1,416.8,2.7,419.5
4.8,410.8,0,416.3,0.1,416.3
1.6,409.1,5,415.7,10.4,426.1
5.6,401.9,6.7,415.4,12.3,427.7
1.2,412.1,0.2,414.7,3.2,418
1.2,407.5,4.5,414.4,2.8,417.2
1.8,404.5,7.6,413.9,135.9,549.8
1.2,386.6,4.3,412.5,30.2,442.7
5.7,393.9,12,412.3,94.4,506.7
1.3,290.6,117.4,411.7,31.9,443.5
4.3,395.5,11.9,411.6,102.8,514.4
1.1,404,5.2,411.2,6.8,418
2.1,400.4,6.1,410.1,3.5,413.6
1.9,400.8,3.5,409.2,32.1,441.3
4.2,390.7,14.1,409.1,2.3,411.4
2,406.5,0,408.5,41,449.5
1,348.9,2,406.9,20.4,427.3
2.3,55.4,348.8,406.5,4.2,410.7
3.3,395.6,2.2,406.4,7.7,414
1.4,396.4,7.7,405.4,14,419.4
0.5,397.7,6.1,404.8,2,406.9
1.7,400.1,2.9,404.8,1.9,406.7
1.4,389.3,11,403.2,1.9,405.1
2.2,398.2,2.4,403.1,56.3,459.4
2.7,222.9,176.2,402.9,29.2,432.1
2,262.1,137.9,402.5,16.3,418.7
0.9,79.7,312.9,401.4,30.6,432
1.9,15.2,382.9,400,3.3,403.3
1.1,223,12.4,399.6,31.5,431.1
5.2,387.8,1.6,398.7,30.4,429.1
1.3,388.3,8.5,398,1,399
1.4,391.9,2.6,397.3,21.5,418.8
1.3,384.5,11.5,397.3,5.9,403.2
2.6,387.8,6.5,396.9,10.6,407.5
2.1,389,5.3,396.4,31.5,427.9
2.5,390.6,2,395.2,4.9,400.1
2.2,383.9,6.1,394.9,13.2,408.1
1.2,335.3,3.4,394.8,1.3,396.1
1.7,376.2,15.8,394.3,19.1,413.5
1.2,392.7,0,394,14.9,408.8
3.1,365.4,24.6,393.5,5,398.4
0.6,378.4,7.8,392.9,23.5,416.4
0.6,387.5,4.8,392.9,33.4,426.3
4.1,384.1,3,392.7,15.4,408.1
1.2,385.3,5.6,392.2,10.1,402.3
2.6,383.9,5.1,392.2,29.4,421.6
0.9,341.2,48.8,392.1,4.9,396.9
0.6,382.9,6.3,391.3,36.4,427.6
2.6,380.9,7.6,391.1,6.2,397.3
6.1,362.2,6.8,391,31.3,422.4
1.2,380.9,8.6,390.9,49.1,440
3.4,386.1,1,390.5,5.8,396.3
1.1,381.2,7.6,389.9,31.6,421.5
1.5,377.5,9.9,389,10.2,399.1
0.6,374.7,13,388.4,0.1,388.5
1,385.9,0.2,387.6,4.6,392.1
1.2,365.8,20.2,387.3,6.9,394.2
0.9,383.4,2.8,387.1,2.3,389.3
2.5,380.4,4.1,387,27.4,414.4
2.2,378.5,5.7,386.6,21.1,407.7
2,384.2,0,386.2,0.4,386.6
2.4,31.5,9.7,385.8,13,398.8
3.8,378.1,2.3,384.2,18.4,402.7
1.2,374.1,8.4,383.8,6.6,390.4
3.8,61.7,318.1,383.6,9.3,392.9
1.6,377.6,3.4,382.8,2.9,385.7
0.7,340.2,6.5,382.4,17.2,399.6
1.7,371.9,8.2,382,25.2,407.2
1.3,119.5,260,380.9,4.3,385.2
1,375.2,3.6,379.8,3.6,383.3
1.5,376.6,0,379.6,2.9,382.5
2,369.6,7.7,379.3,1.6,380.9
1.2,367.6,8.6,378.8,11.4,390.3
1.7,270,2.7,378.6,6.3,384.9
3.7,364.4,10.4,378.5,25.7,404.2
1.7,370.7,4.1,377.4,2.1,379.5
1,367.8,4.5,376.7,3.7,380.3
0.8,337.6,37.1,376.4,8.2,384.6
1.1,367.2,7.9,376.2,1.7,377.9
0.8,356,19.3,376.1,11.4,387.5
1.4,348.1,24.3,375.4,3.3,378.8
1.8,366.4,5.1,375.1,3.8,378.9
1.9,368,5.1,375.1,3.5,378.6
1.3,352,0,374.3,8.2,382.5
1.6,366.9,0.8,373.6,27.6,401.2
0.7,370.8,1.6,373.1,3.3,376.3
1.1,296.9,75,373,12.6,385.6
2.3,363.1,5.7,372.7,30,402.7
1.9,370.5,0,372.4,1.2,373.6
1,362.3,7.6,371.6,90.6,462.1
1.7,369.7,0,371.5,0.8,372.2
2,364.4,5,371.3,13.8,385.1
1.6,358.3,11,371.2,47.1,418.3
1.6,360.6,7.7,370.5,11.9,382.4
0.6,12.4,357,370,4.8,374.8
0.8,355.1,8.7,369.7,21.4,391.1
2.2,363.7,3.3,369.2,5.2,374.4
2.1,357.1,9.9,369,50.2,419.2
2.9,353.1,11.5,368.5,5.4,373.9
2.7,358.9,6.6,368.5,2,370.5
1.9,361.3,4.4,368,1.9,369.8
1.6,363.1,3.2,367.9,2.4,370.2
1.8,357.2,5.7,367.8,4.8,372.6
2.7,355.1,8.9,366.7,1,367.7
1.8,358,6.6,366.6,22.7,389.3
1.5,353.4,9.6,365.4,21.8,387.2
1.2,350.6,12.1,365.1,1.8,366.8
3.2,57.3,304.4,365.1,51.9,417
1.9,357.2,5.7,364.8,4.8,369.6
1.2,354.9,7.6,364.8,22.4,387.2
2.1,349.6,3.5,364.2,49,413.2
1.1,353.9,9,364,50.4,414.4
0.5,359.4,2,363.9,3.3,367.1
1.1,344.6,13.6,363.4,12.6,376
0.9,343.3,2.6,363.3,5.2,368.5
1.3,360.8,0.1,363.2,0.8,363.9
6.4,279.8,76.2,362.9,19.3,382.1
2.6,357.9,2.1,362.8,1.2,364
2.1,212,147.5,362.6,13.3,375.9
2.8,356.4,3.1,362.4,35.1,397.4
5.7,350.7,4.6,362.1,25.7,387.8
8,350.3,3.8,362.1,15.2,377.3
43.2,291.2,27.5,362,71,432.9
1.1,358.1,2.3,361.8,5.3,367.1
1.5,353.9,5.3,360.7,2.8,363.5
1.4,350.1,8.7,360.4,31.9,392.3
1.4,352,6.6,360.2,8.3,368.5
3,254.1,101.5,360.2,19.9,380.1
3.1,342.1,14.4,359.5,20.2,379.7
0.7,353,0,359.3,10.6,369.9
1.5,352.4,5,359.2,26,385.2
0.8,272.1,85.5,359,43.4,402.5
0.8,345.9,11.4,358.8,3.6,362.4
1.4,349.2,4.5,358.7,13.1,371.8
1.9,352.8,1.9,358.2,25.3,383.6
1.1,336.2,20.3,357.9,2.9,360.8
3.2,349.8,4.8,357.8,10.9,368.7
1.5,352.9,3.3,357.7,3.1,360.7
1.5,348.9,6.3,356.9,2.3,359.2
1.8,352.7,1,356.6,9.5,366.2
0.6,334.9,11.8,355.9,29.7,385.6
4.5,331.5,19.8,355.9,9.5,365.4
1.1,347.4,7,355.7,51.6,407.4
3.6,348,3.6,355.3,10.4,365.6
4.9,340.5,9.5,355.1,4.1,359.2
1,346.8,5.5,355,13.4,368.4
3.2,346.2,5.3,354.8,30.3,385.1
1.5,351.2,1.9,354.5,3.7,358.1
2.8,323.3,5.8,354.3,3.9,358.3
2.3,335.3,16.2,354,10.5,364.5
1.2,347.1,4.1,353.9,5.3,359.2
1.1,339.5,12.5,353.6,5.6,359.2
2.7,340.6,8.3,352.3,3.4,355.6
1.8,346.1,2.6,351.9,62.3,414.2
0.8,348.8,2.2,351.9,5.2,357.1
0.8,350.4,0,351.7,2.5,354.1
0.6,346.9,3.8,351.3,10.6,361.8
1.7,348.7,0.5,351.1,7.3,358.4
2.8,339.9,8.4,351.1,33.7,384.8
2.1,337.4,10.8,350.6,44.8,395.4
0.9,342.8,6.7,350.5,14.2,364.8
1.1,342.7,5.9,349.7,8.6,358.3
1.1,339.4,8.7,349.3,9.3,358.6
1.5,345.5,1.6,349.1,5,354.1
2.8,336.4,8.4,348.1,6.7,354.7
0.6,343.3,4.3,348.1,0.3,348.4
1.9,345.8,0,347.7,0,347.8
2.4,337.3,6.9,346.6,33.2,379.8
1.7,338.7,5.1,345.5,15.4,360.9
1.3,332.3,11.4,345.5,9.1,354.5
1.6,341.9,2,345.5,13.8,359.3
1.6,339.6,0.6,345.3,16.1,361.4
3.8,325.3,13.6,344.9,13.2,358.1
2.1,336.8,5.5,344.5,5.1,349.5
2.2,300.5,41.6,344.2,4.7,349
1.1,334,9,344.2,3.8,347.9
4.4,328.1,11.6,344.2,180.7,525
1.8,327.1,12.2,344,8.9,352.9
1,332.4,10,344,30.9,374.8
1,327.7,13.6,343.1,68.8,411.9
2.4,331.4,7.8,343.1,44.4,387.6
3.1,319.5,15.7,342.7,21.3,364
0.9,315.9,24.9,342.2,4.4,346.6
0,338.3,3.7,342,23.5,365.5
0.9,325.7,12,341.2,14.1,355.2
1.1,340.1,0,341.2,1.5,342.7
0.6,335.5,4.4,341.2,62.8,404
0.4,336.2,4.4,341,7.6,348.6
1.8,334.2,4.2,340.7,7.2,347.9
1,333.4,4.8,340.6,3.9,344.4
1.4,332.1,5.4,340.5,8.7,349.2
2.1,325.3,10.9,339.3,28.4,367.6
2.3,335.2,1.3,338.8,3.9,342.7
3.6,325.8,7,338.7,13.3,352.1
1.1,329.5,7.9,338.5,12.8,351.3
0.6,302.2,35.6,338.5,30.5,369
1.9,330,3,337.5,59.8,397.3
1.1,329,6.7,337.3,5.3,342.6
1.9,329.2,6,337.2,13,350.2
1.8,322.7,7.5,337.2,11,348.2
0.8,336,0,336.8,1.8,338.6
1.3,328.4,7,336.6,16.3,352.9
1.6,332.8,1.7,336.4,7.5,343.8
1.2,326.5,6.6,336.2,20.3,356.5
1.2,333.7,1.2,336.1,2.6,338.7
1.6,323.6,10.8,336.1,15,351.1
2.4,324.5,9.1,336.1,13.2,349.3
1.4,334,0.5,335.8,4.5,340.3
1.3,330.9,3,335.5,36.3,371.8
0.6,280.2,54.3,335.1,1.7,336.8
1.1,320.6,12.5,335.1,32.3,367.4
1,324.7,9.1,334.8,4.4,339.3
1.6,331.1,0.2,334.5,2,336.4
2.9,319,9.5,334.2,28.7,362.9
7.8,316.7,9.6,334.1,14,348.1
2.6,69.8,6.6,332.8,18.9,351.7
2.1,329.2,0.3,332.3,6.9,339.2
2.1,17.1,313,332.3,105.4,437.6
2.5,322.3,6.3,332,9.6,341.6
1,324.5,4.5,331.9,3.6,335.4
0.6,326.9,1.9,331.8,9.5,341.3
0,315.6,12.9,330.6,3.4,334
0.7,328.8,0.5,330.1,16.4,346.5
2.4,283.7,42.6,330.1,24.6,354.7
0.8,161.1,167.8,329.9,2.1,332.1
1.7,325,2,329,3.9,332.9
0.5,327.1,1.1,328.7,1.9,330.6
1.2,70.5,255.8,328.4,17.1,345.4
1.5,317.6,8.3,327.4,6.4,333.8
3.7,320.2,3.5,327.4,51.7,379.2
1.4,159.3,163.6,327.3,4.7,332
1.3,321.2,4.7,327.2,8.8,336
0.6,308.2,4.2,327.1,17.5,344.6
1.1,311.7,13.5,326.8,19.5,346.3
0.6,321.9,3.8,326.6,32.1,358.6
1.5,301,23.5,326.2,0,326.2
1.1,315.3,4.9,326,2.6,328.6
1.9,88.3,234.8,325.5,3.8,329.4
1.6,315.2,8.4,325.2,15.4,340.6
1.9,316.9,6,325,22.4,347.4
1.8,312.2,10.9,324.9,4.8,329.7
2.4,317,0,324.7,107.3,432
5.3,315.9,1.5,324.5,3.4,327.8
3.1,317.4,3.7,324.1,4.6,328.7
1.9,321.6,0,323.8,1.3,325.1
2,315.6,5.9,323.7,10.3,334
1.1,311.4,10.7,323.5,46.6,370.1
1.5,316.3,3.1,323.3,29.6,352.9
0.9,317.4,5,323.3,21.5,344.7
1.4,317.5,3.4,323.2,10.3,333.5
1.8,304.8,16.3,322.9,14.4,337.3
2.1,306.6,13.7,322.9,21.6,344.5
2,316.2,0,322.8,18.2,341
2,300.8,19.6,322.4,16,338.4
1.5,297.3,22.7,322.3,26.5,348.8
4.5,307.9,8.8,322.2,8.5,330.7
0.8,310,11.1,321.9,8.1,329.9
4.1,311.1,6.1,321.7,2,323.7
1.5,317.6,1.7,321.2,9.8,331
0.8,316.2,4.2,321.2,38.1,359.3
1.4,93.5,5,321.1,40.7,361.8
1.9,312.1,6.2,320.5,8.1,328.6
1.3,310.2,8.6,320.5,4.7,325.2
3.6,315.2,1.5,320.3,3.4,323.7
3.7,315.1,0,319.9,2.2,322.1
1.5,312.3,5.9,319.8,2,321.7
1.5,305.3,12.3,319.4,2.8,322.1
0.8,317.4,0,318.9,62.1,381
1.6,308.2,7.6,318.8,1.3,320
4.4,314.2,0.1,318.7,1,319.6
2.3,305.7,10.1,318.5,6.6,325.1
1.7,314.2,2.4,318.5,12.8,331.3
2.2,300.1,16.1,318.4,14.1,332.6
5.6,281,31.4,318,9.1,327.1
3.7,286.6,2.5,317.8,22.6,340.5
1.7,310.7,5.4,317.7,31.1,348.8
1.3,308.2,5.6,317.5,96.7,414.2
1.9,309.6,5.2,317.1,7,324.1
1.5,303.8,10.1,316.9,7.7,324.6
0.7,306.8,8.1,315.7,12,327.7
1.1,303.2,7.7,315.2,2.4,317.6
1.2,301.4,10.7,315.2,30.8,345.9
1.6,299.2,12.5,314.9,30.7,345.7
3.5,192.9,8.5,314.7,4,318.7
0.9,306,6,314.3,44.7,359
3.1,307.5,2.6,314.2,2.3,316.5
1.5,305.5,5.4,313.6,39.2,352.7
0.7,304.2,7.9,313.5,8.8,322.3
1.5,310,1.9,313.4,1.7,315.2
0.7,309,3.5,313.2,5.4,318.5
4.9,300.3,8,313.1,94.1,407.2
3.5,306.9,2.5,312.9,6,318.9
3.6,303.6,5.2,312.4,5,317.3
1.6,306.6,2.4,312.3,7,319.2
1.8,292.5,17.4,312.2,22.6,334.8
2.3,236.7,2.4,312,14.3,326.3
2.8,303,5.8,311.9,10.7,322.5
1,249.7,60.9,311.7,16.2,327.9
1,306.6,3.7,311.7,16.3,328
1.3,290.3,16.9,311.7,15.8,327.5
0,307.4,4.2,311.5,49.1,360.7
0.6,299.8,9.8,311.5,27.8,339.3
1.1,306.6,2,311,23,334
1.1,297.9,11.8,310.9,6,316.9
2.2,302.5,4.5,310.8,9,319.8
1.9,304.2,3.1,310.6,3.7,314.3
1.2,303.1,5,310.3,1.8,312.1
1.2,308.1,0.1,310.3,5.2,315.6
2.5,207,100.5,310.3,9.6,319.9
1.9,306.4,1.8,310.2,4.8,315
1.5,301.3,4.1,309.8,49.2,358.9
0.6,303,4.9,308.8,28.2,337
1,291,14.9,308.6,97.9,406.5
1,306.2,1.2,308.4,5.1,313.5
1.6,306.7,0,308.4,88.3,396.7
1.7,191.6,112.7,307.9,32.6,340.4
1.4,301.7,4.6,307.7,10.4,318.1
1.4,299,7.1,307.5,11.8,319.3
1.4,292.9,12.5,306.9,37.4,344.3
1.7,291.9,7.5,306.4,31.4,337.7
1.5,301.8,2,306,42.2,348.2
2.2,297,2.4,305.6,15.3,320.8
1.6,118.8,184.9,305.3,22.7,328
2,181.3,121.4,304.7,7.7,312.5
0.6,299.2,4.6,304.6,1.5,306
2.3,285.2,16.8,304.5,36.7,341.2
2,295.2,5.8,303.7,8.7,312.3
0.7,292.5,8.1,303.7,20.7,324.4
1.4,295.7,5.7,303.6,5,308.6
0.7,292.2,10.1,303.4,6.3,309.7
2.2,299.7,1.4,303.3,3.5,306.8
1.3,292.6,9,303.2,54.8,358
2.3,297.3,3.4,303,1.3,304.3
0.6,292.7,6.1,302.5,2.1,304.6
1.2,294.9,5.9,302,1.4,303.4
1.7,295.9,2.8,301.9,4.4,306.2
1.5,292,3.9,301.8,132.6,434.4
4.4,290.8,6.3,301.7,13.9,315.6
2.7,294.4,4.5,301.7,9.4,311
0.9,287.8,12.9,301.6,2.6,304.2
2.2,293.5,4.7,301.3,8,309.2
3.8,286.6,10,301,47.8,348.8
0.7,295.7,2.1,300.9,4.8,305.7
1.3,10.5,288.8,300.6,68.4,369
3.5,286.9,7.8,300.6,8,308.6
2.3,118.2,175.8,300.5,24.8,325.3
6.1,285.9,7.6,300.1,9.1,309.2
1.1,277.1,7,300,23.9,323.9
1.3,287.9,9.8,299.7,10.3,310
1,290.9,6.5,298.9,26.8,325.7
1,289,8.8,298.8,14.5,313.3
3.3,286.6,8.6,298.4,3.8,302.2
2.5,279.4,7.8,298.1,29.9,328
2.1,287.1,4.8,297.4,36.8,334.2
1.4,131.1,164.9,297.3,5.4,302.6
1.3,294.1,1.7,297.2,5.3,302.5
1.3,289.4,6.3,297.1,12.7,309.8
4.5,256.3,36.1,296.9,29.8,326.7
2.1,287.9,6.7,296.7,14.5,311.2
1.4,289.2,4.1,296.3,13.8,310
0.2,288.5,4.3,296.3,10.8,307.1
1.6,283.2,7.8,295.9,15,310.9
1.5,287.4,4,295.9,12.3,308.2
1,284.6,9.5,295.5,5.6,301.1
2.6,129.4,161.6,294.9,138.2,433.1
3.5,288.8,2.3,294.8,7,301.8
8.8,281.2,4.4,294.7,6.2,300.9
3.8,273.2,0,294.5,42.4,336.8
1,285.3,7.5,294.2,3.9,298
1.8,289.2,2.4,294,27.7,321.7
1.9,286.2,4.4,293.8,4.6,298.4
0.8,292.6,0,293.7,0.4,294.1
7,283.5,3.2,293.6,3,296.6
1.9,291.6,0,293.6,7.1,300.7
1.5,281.3,7.8,293.4,12.2,305.6
0.8,283.6,9.1,293.4,13.1,306.6
6.5,267.5,19.1,293.3,4.2,297.4
0.4,277.1,5,293.1,10.6,303.7
1.1,289.1,1.2,292.6,8.5,301.1
